Cortical thickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
AgevsCortThick;L_bankssts_thickavg;-0.403;;;;;;;
AgevsCortThick;L_caudalanteriorcingulate_thickavg;-0.3;;;;;;;
AgevsCortThick;L_caudalmiddlefrontal_thickavg;-0.395;;;;;;;
AgevsCortThick;L_cuneus_thickavg;-0.423;;;;;;;
AgevsCortThick;L_entorhinal_thickavg;0.037;;;;;;;
AgevsCortThick;L_fusiform_thickavg;-0.34;;;;;;;
AgevsCortThick;L_inferiorparietal_thickavg;-0.543;;;;;;;
AgevsCortThick;L_inferiortemporal_thickavg;-0.29;;;;;;;
AgevsCortThick;L_isthmuscingulate_thickavg;-0.37;;;;;;;
AgevsCortThick;L_lateraloccipital_thickavg;-0.419;;;;;;;
AgevsCortThick;L_lateralorbitofrontal_thickavg;-0.493;;;;;;;
AgevsCortThick;L_lingual_thickavg;-0.445;;;;;;;
AgevsCortThick;L_medialorbitofrontal_thickavg;-0.393;;;;;;;
AgevsCortThick;L_middletemporal_thickavg;-0.365;;;;;;;
AgevsCortThick;L_parahippocampal_thickavg;-0.181;;;;;;;
AgevsCortThick;L_paracentral_thickavg;-0.462;;;;;;;
AgevsCortThick;L_parsopercularis_thickavg;-0.422;;;;;;;
AgevsCortThick;L_parsorbitalis_thickavg;-0.399;;;;;;;
AgevsCortThick;L_parstriangularis_thickavg;-0.463;;;;;;;
AgevsCortThick;L_pericalcarine_thickavg;-0.306;;;;;;;
AgevsCortThick;L_postcentral_thickavg;-0.419;;;;;;;
AgevsCortThick;L_posteriorcingulate_thickavg;-0.485;;;;;;;
AgevsCortThick;L_precentral_thickavg;-0.287;;;;;;;
AgevsCortThick;L_precuneus_thickavg;-0.567;;;;;;;
AgevsCortThick;L_rostralanteriorcingulate_thickavg;-0.327;;;;;;;
AgevsCortThick;L_rostralmiddlefrontal_thickavg;-0.521;;;;;;;
AgevsCortThick;L_superiorfrontal_thickavg;-0.531;;;;;;;
AgevsCortThick;L_superiorparietal_thickavg;-0.519;;;;;;;
AgevsCortThick;L_superiortemporal_thickavg;-0.294;;;;;;;
AgevsCortThick;L_supramarginal_thickavg;-0.481;;;;;;;
AgevsCortThick;L_frontalpole_thickavg;-0.258;;;;;;;
AgevsCortThick;L_temporalpole_thickavg;0.018;;;;;;;
AgevsCortThick;L_transversetemporal_thickavg;-0.273;;;;;;;
AgevsCortThick;L_insula_thickavg;-0.382;;;;;;;
AgevsCortThick;R_bankssts_thickavg;-0.384;;;;;;;
AgevsCortThick;R_caudalanteriorcingulate_thickavg;-0.291;;;;;;;
AgevsCortThick;R_caudalmiddlefrontal_thickavg;-0.386;;;;;;;
AgevsCortThick;R_cuneus_thickavg;-0.462;;;;;;;
AgevsCortThick;R_entorhinal_thickavg;0.05;;;;;;;
AgevsCortThick;R_fusiform_thickavg;-0.368;;;;;;;
AgevsCortThick;R_inferiorparietal_thickavg;-0.542;;;;;;;
AgevsCortThick;R_inferiortemporal_thickavg;-0.308;;;;;;;
AgevsCortThick;R_isthmuscingulate_thickavg;-0.376;;;;;;;
AgevsCortThick;R_lateraloccipital_thickavg;-0.414;;;;;;;
AgevsCortThick;R_lateralorbitofrontal_thickavg;-0.44;;;;;;;
AgevsCortThick;R_lingual_thickavg;-0.455;;;;;;;
AgevsCortThick;R_medialorbitofrontal_thickavg;-0.427;;;;;;;
AgevsCortThick;R_middletemporal_thickavg;-0.381;;;;;;;
AgevsCortThick;R_parahippocampal_thickavg;-0.197;;;;;;;
AgevsCortThick;R_paracentral_thickavg;-0.443;;;;;;;
AgevsCortThick;R_parsopercularis_thickavg;-0.405;;;;;;;
AgevsCortThick;R_parsorbitalis_thickavg;-0.356;;;;;;;
AgevsCortThick;R_parstriangularis_thickavg;-0.445;;;;;;;
AgevsCortThick;R_pericalcarine_thickavg;-0.303;;;;;;;
AgevsCortThick;R_postcentral_thickavg;-0.424;;;;;;;
AgevsCortThick;R_posteriorcingulate_thickavg;-0.466;;;;;;;
AgevsCortThick;R_precentral_thickavg;-0.313;;;;;;;
AgevsCortThick;R_precuneus_thickavg;-0.552;;;;;;;
AgevsCortThick;R_rostralanteriorcingulate_thickavg;-0.273;;;;;;;
AgevsCortThick;R_rostralmiddlefrontal_thickavg;-0.494;;;;;;;
AgevsCortThick;R_superiorfrontal_thickavg;-0.503;;;;;;;
AgevsCortThick;R_superiorparietal_thickavg;-0.513;;;;;;;
AgevsCortThick;R_superiortemporal_thickavg;-0.328;;;;;;;
AgevsCortThick;R_supramarginal_thickavg;-0.494;;;;;;;
AgevsCortThick;R_frontalpole_thickavg;-0.277;;;;;;;
AgevsCortThick;R_temporalpole_thickavg;0.107;;;;;;;
AgevsCortThick;R_transversetemporal_thickavg;-0.297;;;;;;;
AgevsCortThick;R_insula_thickavg;-0.372;;;;;;;
