CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
BIPS< HC;L_rostralmiddlefrontal_thickavg;-0.25;;-0.54;0.04;;;0.09;
BIPS< HC;L_superiorfrontal_thickavg;-0.07;;-0.36;0.21;;;0.62;
BIPS< HC;L_superiorparietal_thickavg;-0.02;;-0.3;0.26;;;0.90;
BIPS< HC;L_superiortemporal_thickavg;-0.10;;-0.39;0.18;;;0.48;
BIPS< HC;L_supramarginal_thickavg;-0.05;;-0.33;0.23;;;0.73;
BIPS< HC;L_frontalpole_thickavg;0.17;;-0.12;0.45;;;0.25;
BIPS< HC;L_temporalpole_thickavg;-0.02;;-0.31;0.26;;;0.87;
BIPS< HC;L_transversetemporal_thickavg;-0.01;;0.27;0.93;;;-0.07;
BIPS< HC;L_insula_thickavg;-0.06;;-0.34;0.22;;;0.68;
BIPS< HC;R_bankssts_thickavg;0.06;;-0.22;0.34;;;0.68;
BIPS< HC;R_caudalanteriorcingulate_thickavg;-0.22;;-0.5;0.06;;;0.13;
BIPS< HC;R_caudalmiddlefrontal_thickavg;0.06;;-0.23;0.34;;;0.69;
BIPS< HC;R_cuneus_thickavg;0.34;;0.06;0.62;;;0.02;
BIPS< HC;R_entorhinal_thickavg;-0.15;;-0.43;0.13;;;0.30;
BIPS< HC;R_fusiform_thickavg;0;;-0.28;0.29;;;0.98;
BIPS< HC;R_inferiorparietal_thickavg;-0.07;;-0.35;0.22;;;0.64;
BIPS< HC;R_inferiortemporal_thickavg;-0.16;;-0.45;0.12;;;0.27;
BIPS< HC;R_isthmuscingulate_thickavg;-0.04;;-0.32;0.25;;;0.81;
BIPS< HC;R_lateraloccipital_thickavg;-0.21;;-0.49;0.08;;;0.16;
BIPS< HC;R_lateralorbitofrontal_thickavg;0;;-0.29;0.29;;;0.98;
BIPS< HC;R_lingual_thickavg;0.10;;-0.19;0.38;;;0.51;
BIPS< HC;R_medialorbitofrontal_thickavg;-0.03;;-0.31;0.26;;;0.86;
BIPS< HC;R_middletemporal_thickavg;-0.21;;-0.49;0.07;;;0.15;
BIPS< HC;R_parahippocampal_thickavg;0.13;;-0.15;0.41;;;0.38;
BIPS< HC;R_paracentral_thickavg;0.21;;-0.07;0.49;;;0.14;
BIPS< HC;R_parsopercularis_thickavg;0.01;;-0.27;0.3;;;0.92;
BIPS< HC;R_parsorbitalis_thickavg;-0.05;;-0.34;0.23;;;0.71;
BIPS< HC;R_parstriangularis_thickavg;0.11;;-0.18;0.4;;;0.46;
BIPS< HC;R_pericalcarine_thickavg;0.33;;0.04;0.62;;;0.03;
BIPS< HC;R_postcentral_thickavg;-0.20;;-0.49;0.09;;;0.17;
BIPS< HC;R_posteriorcingulate_thickavg;-0.09;;-0.37;0.19;;;0.54;
BIPS< HC;R_precentral_thickavg;-0.01;;-0.29;0.27;;;0.95;
BIPS< HC;R_precuneus_thickavg;-0.05;;-0.33;0.24;;;0.74;
BIPS< HC;R_rostralanteriorcingulate_thickavg;0.15;;-0.13;0.43;;;0.30;
BIPS< HC;R_rostralmiddlefrontal_thickavg;-0.13;;-0.42;0.15;;;0.37;
BIPS< HC;R_superiorfrontal_thickavg;-0.04;;-0.33;0.24;;;0.78;
BIPS< HC;R_superiorparietal_thickavg;-0.05;;-0.33;0.24;;;0.75;
BIPS< HC;R_superiortemporal_thickavg;-0.20;;-0.49;0.09;;;0.17;
BIPS< HC;R_supramarginal_thickavg;-0.11;;-0.39;0.18;;;0.46;
BIPS< HC;R_frontalpole_thickavg;-0.19;;-0.48;0.1;;;0.20;
BIPS< HC;R_temporalpole_thickavg;-0.05;;-0.33;0.24;;;0.74;
BIPS< HC;R_transversetemporal_thickavg;-0.33;;-0.62;-0.05;;;0.02;
BIPS< HC;R_insula_thickavg;-0.25;;-0.54;0.03;;;0.08;
;;;;;;;;;
