CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
anorexiavsCN;R_rostralmiddlefrontal;-0,50651;0,112505;-0,72701;-0,286;960;682;6,73E-06;9,81E-06
anorexiavsCN;R_superiorfrontal;-0,72165;0,120229;-0,95729;-0,48601;961;683;1,95E-09;3,49E-09
anorexiavsCN;R_superiorparietal;-0,9246;0,128997;-1,17743;-0,67178;962;684;7,63E-13;2,54E-12
anorexiavsCN;R_superiortemporal;-0,5217;0,094282;-0,70649;-0,33692;960;682;3,14E-08;4,88E-08
anorexiavsCN;R_supramarginal;-0,75642;0,1225;-0,99651;-0,51632;961;684;6,62E-10;1,32E-09
anorexiavsCN;R_frontalpole;-0,33194;0,08847;-0,50534;-0,15854;962;683;0,000175;0,000223
anorexiavsCN;R_temporalpole;-0,05514;0,097548;-0,24633;0,136051;962;683;0,571901;0,58019
anorexiavsCN;R_transversetemporal;-0,25751;0,085367;-0,42483;-0,0902;962;684;0,002557;0,002983
anorexiavsCN;R_insula;-0,33905;0,096309;-0,52781;-0,15028;962;683;0,000431;0,000529
;;;;;;;;;
;;;;;;;;;
