Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
GRD< BIPS;R_caudalmiddlefrontal_thickavg;-0.10;;-0.44;0.24;;;0.59;
GRD< BIPS;R_cuneus_thickavg;-0.16;;-0.51;0.18;;;0.43;
GRD< BIPS;R_entorhinal_thickavg;0.21;;-0.13;0.55;;;0.25;
GRD< BIPS;R_fusiform_thickavg;-0.28;;-0.62;0.06;;;0.12;
GRD< BIPS;R_inferiorparietal_thickavg;-0.18;;-0.52;0.16;;;0.31;
GRD< BIPS;R_inferiortemporal_thickavg;-0.46;;-0.8;-0.11;;;9.76e-03;
GRD< BIPS;R_isthmuscingulate_thickavg;-0.36;;-0.71;-0.02;;;0.04;
GRD< BIPS;R_lateraloccipital_thickavg;-0.18;;-0.53;0.16;;;0.31;
GRD< BIPS;R_lateralorbitofrontal_thickavg;-0.02;;-0.36;0.33;;;0.93;
GRD< BIPS;R_lingual_thickavg;-0.21;;-0.56;0.14;;;0.29;
GRD< BIPS;R_medialorbitofrontal_thickavg;-0.11;;-0.45;0.24;;;0.56;
GRD< BIPS;R_middletemporal_thickavg;-0.13;;-0.47;0.21;;;0.47;
GRD< BIPS;R_parahippocampal_thickavg;0.03;;-0.31;0.37;;;0.86;
GRD< BIPS;R_paracentral_thickavg;0.17;;-0.17;0.51;;;0.36;
GRD< BIPS;R_parsopercularis_thickavg;0.02;;-0.32;0.37;;;0.90;
GRD< BIPS;R_parsorbitalis_thickavg;-0.11;;-0.45;0.23;;;0.55;
GRD< BIPS;R_parstriangularis_thickavg;-0.10;;-0.44;0.24;;;0.57;
GRD< BIPS;R_pericalcarine_thickavg;-0.02;;-0.37;0.33;;;0.92;
GRD< BIPS;R_postcentral_thickavg;0.29;;-0.05;0.64;;;0.13;
GRD< BIPS;R_posteriorcingulate_thickavg;-0.19;;-0.53;0.15;;;0.29;
GRD< BIPS;R_precentral_thickavg;-0.09;;-0.44;0.25;;;0.61;
GRD< BIPS;R_precuneus_thickavg;0.07;;-0.28;0.41;;;0.70;
GRD< BIPS;R_rostralanteriorcingulate_thickavg;-0.04;;-0.38;0.3;;;0.82;
