SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
anorexia_acAN-pwrAN,R_parstriangularis,-0.06327,0.12016,-0.29878,0.172243,117,224,0.598529,0.999897
anorexia_acAN-pwrAN,R_pericalcarine,-0.07914,0.120178,-0.31468,0.156405,117,224,0.510203,0.999897
anorexia_acAN-pwrAN,R_postcentral,-0.02307,0.120121,-0.25851,0.21236,117,224,0.847681,0.999897
anorexia_acAN-pwrAN,R_posteriorcingulate,-0.02791,0.120137,-0.26337,0.207557,117,224,0.816316,0.999897
anorexia_acAN-pwrAN,R_precentral,0.065023,0.120157,-0.17048,0.300527,117,224,0.588404,0.999897
anorexia_acAN-pwrAN,R_precuneus,0.087805,0.120261,-0.1479,0.323513,117,224,0.465315,0.999897
anorexia_acAN-pwrAN,R_rostralanteriorcingulate,-0.0493,0.12016,-0.28481,0.18621,117,224,0.681599,0.999897
anorexia_acAN-pwrAN,R_rostralmiddlefrontal,0.10046,0.120236,-0.1352,0.336118,117,224,0.403424,0.999897
anorexia_acAN-pwrAN,R_superiorfrontal,0.008424,0.120163,-0.22709,0.243939,117,224,0.94411,0.999897
anorexia_acAN-pwrAN,R_superiorparietal,-0.07003,0.120118,-0.30545,0.165397,117,224,0.559893,0.999897
anorexia_acAN-pwrAN,R_superiortemporal,-0.20294,0.120415,-0.43895,0.033065,117,224,0.091918,0.999897
anorexia_acAN-pwrAN,R_supramarginal,0.003907,0.120381,-0.23204,0.239849,117,224,0.974111,0.999897
anorexia_acAN-pwrAN,R_frontalpole,-0.08184,0.120332,-0.31769,0.154006,117,224,0.49643,0.999897
anorexia_acAN-pwrAN,R_temporalpole,0.13572,0.120472,-0.1004,0.37184,117,224,0.259923,0.999897
anorexia_acAN-pwrAN,R_transversetemporal,-0.17898,0.120393,-0.41495,0.056985,117,224,0.137111,0.999897
anorexia_acAN-pwrAN,R_insula,0.013646,0.120161,-0.22186,0.249157,117,224,0.909581,0.999897
