Cortical Thickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;
assymetry_sexdifferences;R_medialorbitofrontal_asy_area.csv;;0.023366059;0.025211073;0.116804341;;;0.002374238;0.014117791;;;;
assymetry_sexdifferences;R_middletemporal_asy_area.csv;;0.022862104;-0.023779438;0.065838362;;;0.357656739;0.024801236;;;;
assymetry_sexdifferences;R_parahippocampal_asy_area.csv;;0.018000419;0.029728776;0.100289124;;;0.000304403;0.185235777;;;;
assymetry_sexdifferences;R_paracentral_asy_area.csv;;0.017645441;-0.056494564;0.012674292;;;0.214351607;0.628080559;;;;
assymetry_sexdifferences;R_parsopercularis_asy_area.csv;;0.016385059;-0.052851306;0.011376946;;;0.205650888;0.375470078;;;;
assymetry_sexdifferences;R_parsorbitalis_asy_area.csv;;0.016380682;-0.050909236;0.013301856;;;0.251002155;0.02867431;;;;
assymetry_sexdifferences;R_parstriangularis_asy_area.csv;;0.018180853;-0.049166916;0.022100717;;;0.456658725;0.015976974;;;;
assymetry_sexdifferences;R_pericalcarine_asy_area.csv;;0.016541675;-0.000512675;0.064329497;;;0.053734459;0.748246048;;;;
assymetry_sexdifferences;R_postcentral_asy_area.csv;;0.016463015;-0.00703837;0.057495463;;;0.125414437;0.978652186;;;;
assymetry_sexdifferences;R_posteriorcingulate_asy_area.csv;;0.019280898;-0.019436816;0.056142914;;;0.341159195;0.165378045;;;;
assymetry_sexdifferences;R_precentral_asy_area.csv;;0.017244589;0.000333078;0.067930623;;;0.04778461;0.111522605;;;;
assymetry_sexdifferences;R_precuneus_asy_area.csv;;0.027290171;-0.041776197;0.065199308;;;0.667814641;0.00000281349;;;;
assymetry_sexdifferences;R_rostralanteriorcingulate_asy_area.csv;;0.01991285;-0.068608586;0.009448353;;;0.137417043;0.08288642;;;;
assymetry_sexdifferences;R_rostralmiddlefrontal_asy_area.csv;;0.019183637;-0.05164807;0.023550405;;;0.46396464;0.029660447;;;;
assymetry_sexdifferences;R_superiorfrontal_asy_area.csv;;0.019477806;-0.033508137;0.042843461;;;0.810609327;0.176509292;;;;
assymetry_sexdifferences;R_superiorparietal_asy_area.csv;;0.022074544;-0.031100043;0.05543058;;;0.581565521;0.008578964;;;;
assymetry_sexdifferences;R_superiortemporal_asy_area.csv;;0.021595016;-0.03616871;0.048482196;;;0.775567381;0.018690559;;;;
assymetry_sexdifferences;R_supramarginal_asy_area.csv;;0.020562286;-0.049571752;0.031030926;;;0.652100929;0.184725384;;;;
assymetry_sexdifferences;R_frontalpole_asy_area.csv;;0.022100271;-0.019264226;0.067367245;;;0.276467002;0.000251435;;;;
assymetry_sexdifferences;R_temporalpole_asy_area.csv;;0.02066595;-0.065106745;0.015902289;;;0.233861055;0.076005982;;;;
assymetry_sexdifferences;R_transversetemporal_asy_area.csv;;0.022608766;-0.085931889;0.002692847;;;0.065642419;0.004665341;;;;
assymetry_sexdifferences;R_insula_asy_area.csv;;0.027251939;-0.038566318;0.068259319;;;0.585900052;0.000000248178;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
