Cortical Thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
assymetry_agedifferences,R_pericalcarine,-0.01469,0.009642903,-0.033587687,0.004211799,,,0.127711939,0.269449823
assymetry_agedifferences,R_postcentral,0.015228,0.010306281,-0.004971526,0.035428353,,,0.139518696,0.604579783
assymetry_agedifferences,R_posteriorcingulate,-0.00049,0.009589564,-0.019285625,0.018304774,,,0.959212707,0.389059193
assymetry_agedifferences,R_precentral,0.022745,0.011996985,-0.000768312,0.046259006,,,0.057970374,0.214199632
assymetry_agedifferences,R_precuneus,0.006556,0.009602441,-0.012264669,0.025376209,,,0.494784362,0.639053978
assymetry_agedifferences,R_rostralanteriorcingulate,-0.02364,0.011511562,-0.046200794,-0.001076298,,,0.040027876,0.092001811
assymetry_agedifferences,R_rostralmiddlefrontal,0.016536,0.014336809,-0.011564106,0.044635151,,,0.248762051,0.00051605
assymetry_agedifferences,R_superiorfrontal,-0.00425,0.011885281,-0.027547979,0.019041466,,,0.720448727,0.053562163
assymetry_agedifferences,R_superiorparietal,0.009828,0.009600961,-0.008989258,0.028645819,,,0.305988016,0.786272439
assymetry_agedifferences,R_superiortemporal,0.0335,0.010563352,0.012795896,0.054203475,,,0.00151752,0.023283635
assymetry_agedifferences,R_supramarginal,0.028793,0.015261944,-0.00112032,0.058705401,,,0.059219819,0.000374047
assymetry_agedifferences,R_frontalpole,0.010904,0.009741412,-0.008188326,0.029997306,,,0.262971549,0.283955046
assymetry_agedifferences,R_temporalpole,-0.01364,0.009650376,-0.032559028,0.005269749,,,0.157392062,0.569890667
assymetry_agedifferences,R_transversetemporal,0.009299,0.010460498,-0.011203348,0.029801052,,,0.374030345,0.137127026
assymetry_agedifferences,R_insula,-0.01118,0.010536577,-0.031831283,0.009471342,,,0.28866135,0.258458866
