SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs        ,fdr_p
anorexia_acAN-pwrANvscontrols,R_postcentral,-0.59497,0.123343,-0.83672,-0.35322,117,224,0.00000141,0.00000986
anorexia_acAN-pwrANvscontrols,R_posteriorcingulate,-0.43429,0.12177,-0.67295,-0.19562,117,224,0.000362,0.000873
anorexia_acAN-pwrANvscontrols,R_precentral,-0.5069,0.122757,-0.74749,-0.2663,117,224,0.0000364,0.000121
anorexia_acAN-pwrANvscontrols,R_precuneus,-0.48207,0.180084,-0.83502,-0.12911,117,224,0.007431,0.013003
anorexia_acAN-pwrANvscontrols,R_rostralanteriorcingulate,-0.07415,0.120581,-0.31048,0.162188,117,224,0.53861,0.598456
anorexia_acAN-pwrANvscontrols,R_rostralmiddlefrontal,-0.2084,0.291145,-0.77903,0.362236,117,224,0.474122,0.544074
anorexia_acAN-pwrANvscontrols,R_superiorfrontal,-0.12245,0.367579,-0.84289,0.597989,117,224,0.739035,0.772126
anorexia_acAN-pwrANvscontrols,R_superiorparietal,-0.44719,0.207783,-0.85443,-0.03994,117,224,0.031383,0.047661
anorexia_acAN-pwrANvscontrols,R_superiortemporal,-0.58497,0.127377,-0.83463,-0.33532,117,224,0.00000438,0.0000191
anorexia_acAN-pwrANvscontrols,R_supramarginal,-0.61047,0.123373,-0.85228,-0.36867,117,224,0.000000749,0.00000835
anorexia_acAN-pwrANvscontrols,R_frontalpole,-0.40328,0.121947,-0.64229,-0.16427,117,224,0.000943,0.00203
anorexia_acAN-pwrANvscontrols,R_temporalpole,0.059087,0.120353,-0.1768,0.294975,117,224,0.623465,0.671424
anorexia_acAN-pwrANvscontrols,R_transversetemporal,-0.23027,0.120543,-0.46653,0.005992,117,224,0.056101,0.078541
anorexia_acAN-pwrANvscontrols,R_insula,-0.10312,0.367596,-0.82359,0.617356,117,224,0.779079,0.801993
