Cortical Thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
assymetry_handednessdifferences,R_parsopercularis,0.070738815,0.058052673,-0.043042333,0.184519963,,,0.223023343,0.514820322
assymetry_handednessdifferences,R_parsorbitalis,0.072848021,0.057913928,-0.040661192,0.186357235,,,0.208439848,0.792306763
assymetry_handednessdifferences,R_parstriangularis,-0.020634266,0.059231673,-0.136726211,0.09545768,,,0.727565778,0.982523015
assymetry_handednessdifferences,R_pericalcarine,0.000158833,0.059798745,-0.117044555,0.11736222,,,0.997880724,0.830897436
assymetry_handednessdifferences,R_postcentral,0.089224581,0.058764523,-0.025951768,0.204400931,,,0.128928473,0.964665351
assymetry_handednessdifferences,R_posteriorcingulate,-0.085158958,0.059381268,-0.201544104,0.031226189,,,0.151542376,0.649634731
assymetry_handednessdifferences,R_precentral,0.072147999,0.058614466,-0.042734244,0.187030241,,,0.218363765,0.930307667
assymetry_handednessdifferences,R_precuneus,-0.023306432,0.058012105,-0.137008068,0.090395203,,,0.687867144,0.999098285
assymetry_handednessdifferences,R_rostralanteriorcingulate,0.014333489,0.058545433,-0.10041345,0.129080429,,,0.806590565,0.929824408
assymetry_handednessdifferences,R_rostralmiddlefrontal,0.049719378,0.065965723,-0.079571064,0.17900982,,,0.451020165,0.601084853
assymetry_handednessdifferences,R_superiorfrontal,-0.069592018,0.059606825,-0.186419248,0.047235212,,,0.243001399,0.82520717
assymetry_handednessdifferences,R_superiorparietal,0.020855391,0.058596619,-0.093991871,0.135702653,,,0.721904533,0.93143216
assymetry_handednessdifferences,R_superiortemporal,-0.008014527,0.060612982,-0.126813788,0.110784733,,,0.894806642,0.852112139
assymetry_handednessdifferences,R_supramarginal,0.082224295,0.058710818,-0.032846794,0.197295383,,,0.161364693,0.960130768
assymetry_handednessdifferences,R_frontalpole,-0.015481153,0.057928042,-0.129018028,0.098055722,,,0.789278223,0.993784709
assymetry_handednessdifferences,R_temporalpole,-0.093166584,0.058670002,-0.208157675,0.021824507,,,0.112291656,0.952094779
assymetry_handednessdifferences,R_transversetemporal,0.087509057,0.05874991,-0.027638651,0.202656764,,,0.136350979,0.814582363
assymetry_handednessdifferences,R_insula,0.067213909,0.057863332,-0.046196137,0.180623955,,,0.245398947,0.975167075
