Surface Area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,,,,,,,
cortsurf_assymetry,R_medialorbitofrontal,0.026672,0.03609843,-0.044079182,0.097424063,,,0.459979323,1.0241E-247,,,,,,,
cortsurf_assymetry,R_middletemporal,-1.10067,0.024898119,-1.149467135,-1.051868302,,,0,1.7479E-102,,,,,,,
cortsurf_assymetry,R_parahippocampal,0.300941,0.017383474,0.266870489,0.335012454,,,3.82383E-67,4.90937E-30,,,,,,,
cortsurf_assymetry,R_paracentral,-1.0026,0.018054226,-1.03798491,-0.967213643,,,0,2.73044E-19,,,,,,,
cortsurf_assymetry,R_parsopercularis,1.078642,0.014155553,1.050897699,1.106386447,,,0,0.000316623,,,,,,,
cortsurf_assymetry,R_parsorbitalis,-1.7457,0.021358599,-1.787562836,-1.703838666,,,0,0.00000000000741806,,,,,,,
cortsurf_assymetry,R_parstriangularis,-0.99877,0.015270841,-1.028704308,-0.968843713,,,0,0.000000269315,,,,,,,
cortsurf_assymetry,R_pericalcarine,-0.94497,0.027300705,-0.998475111,-0.891458314,,,1.5954E-262,4.6194E-171,,,,,,,
cortsurf_assymetry,R_postcentral,0.480663,0.023197492,0.435197048,0.526129543,,,2.26389E-95,2.7471E-117,,,,,,,
cortsurf_assymetry,R_posteriorcingulate,-0.13458,0.015542471,-0.165039531,-0.104114164,,,4.77376E-18,4.67147E-27,,,,,,,
cortsurf_assymetry,R_precentral,-0.11591,0.01467504,-0.144670863,-0.087145762,,,2.82665E-15,1.35928E-15,,,,,,,
cortsurf_assymetry,R_precuneus,-0.585,0.016128666,-0.616609559,-0.553386349,,,4.6892E-288,2.25973E-22,,,,,,,
cortsurf_assymetry,R_rostralanteriorcingulate,1.017766,0.026869973,0.965101635,1.070429994,,,0,3.6242E-125,,,,,,,
cortsurf_assymetry,R_rostralmiddlefrontal,-0.40675,0.019521498,-0.445007797,-0.368484932,,,2.04986E-96,1.46605E-68,,,,,,,
cortsurf_assymetry,R_superiorfrontal,0.417525,0.014078696,0.389931166,0.445118642,,,2.7961E-193,0.000000131159,,,,,,,
cortsurf_assymetry,R_superiorparietal,-0.00197,0.013677577,-0.028780839,0.024834276,,,0.885286252,0.0000000000207888,,,,,,,
cortsurf_assymetry,R_superiortemporal,0.592628,0.019459942,0.554487345,0.630768918,,,1.0686E-203,2.81247E-36,,,,,,,
cortsurf_assymetry,R_supramarginal,0.414185,0.025153531,0.364885314,0.463485343,,,6.4082E-61,2.3045E-153,,,,,,,
cortsurf_assymetry,R_frontalpole,-1.63319,0.022625595,-1.677537545,-1.588846843,,,0,1.84426E-16,,,,,,,
cortsurf_assymetry,R_temporalpole,0.869906,0.022930815,0.824962705,0.914849847,,,0,3.68658E-82,,,,,,,
cortsurf_assymetry,R_transversetemporal,1.75942,0.023760733,1.712849326,1.805989689,,,0,4.85791E-29,,,,,,,
cortsurf_assymetry,R_insula,-0.18423,0.027439589,-0.23801478,-0.130453568,,,0.0000000000189134,9.5324E-148,,,,,,,
